Longitude,Latitude,House-Age,Area,Property-Type,Purpose,Floor,Layout,Elevator,Janitor,Parking-Space,Closing-Date,Price
120.97381586372917,24.813608339221418,16,28.92,住宅大樓(11層含以上有電梯),住家用,九層/二十八層,2房2廳2衛,有,有,0,112/08/30,"12,340,000"
120.96385256017118,24.820693721891192,25,38.60,華廈(10層含以下有電梯),住家用,四層/六層,3房2廳2衛,有,有,1,112/08/08,"10,580,000"
120.93913247538647,24.79750022668523,11,48.75,住宅大樓(11層含以上有電梯),住家用,四層/十一層,3房2廳2衛,有,有,1,112/08/08,"15,160,000"
120.93918930108116,24.802664614987975,29,30.60,華廈(10層含以下有電梯),住家用,七層/九層,3房2廳2衛,有,有,0,112/08/26,"5,300,000"
120.97049998810948,24.822284201870247,27,43.31,住宅大樓(11層含以上有電梯),住家用,九層/十四層,3房2廳2衛,有,有,1,112/08/15,"12,700,000"
120.98911147536059,24.784149821117005,16,21.30,華廈(10層含以下有電梯),辦公用,三層/六層,2房1廳1衛,有,有,1,112/08/18,"7,880,000"
120.95142678742906,24.797134549994365,28,47.26,華廈(10層含以下有電梯),住家用,三層/十層,4房2廳2衛,有,有,1,112/08/16,"10,700,000"
120.9626494805897,24.807972110838357,3,11.74,華廈(10層含以下有電梯),住家用,六層/十層,1房1廳1衛,有,有,0,112/08/09,"4,900,000"
121.00372875114958,24.795733914297415,12,57.87,住宅大樓(11層含以上有電梯),住家用,十一層/十四層,3房2廳2衛,有,有,1,112/08/23,"24,000,000"
120.96519124223163,24.809290906012567,2,20.80,華廈(10層含以下有電梯),住家用,五層/七層,1房1廳1衛,有,有,0,112/08/02,"8,500,000"
120.96830564222645,24.77616553725652,18,23.01,華廈(10層含以下有電梯),住家用,四層/四層,1房1廳1衛,有,有,1,112/08/13,"5,300,000"
121.00972207991866,24.791029724698213,10,46.09,住宅大樓(11層含以上有電梯),住家用,十層/十四層,3房2廳2衛,有,有,1,112/08/31,"22,220,000"
121.01189803968404,24.792212330503716,8,50.85,住宅大樓(11層含以上有電梯),住家用,四層/二十八層,3房2廳2衛,有,有,1,112/08/23,"26,280,000"
120.95309619892636,24.80275991006005,14,56.40,住宅大樓(11層含以上有電梯),住家用,十層/十三層,3房2廳2衛,有,有,1,112/08/12,"18,000,000"
120.9705809824244,24.81443837173513,34,45.29,公寓(5樓含以下無電梯),住家用,"三層,四層/五層",3房2廳3衛,無,有,0,112/08/26,"9,880,000"
120.96679085675254,24.81992697215807,29,41.61,華廈(10層含以下有電梯),住家用,四層/七層,4房2衛,有,有,1,112/08/19,"11,000,000"
