longitude,latitude,house_age,area,elevator,janitor,parking_space,closing_year,bedroom,living_room,bathroom,residential,property_type_apartment,property_type_detached_house,property_type_mansion,property_type_residential_building,sale_floor_all,sale_floor_basement,sale_floor_other,sale_floor,total_floor,price
121.0145981,24.79257323,3,53.15,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,16,21,26600000
120.9899012,24.80157514,7,55.01,1,1,1,112,4,2,2,1,0,0,0,1,0,0,0,11,12,28280000
120.9325921,24.83896577,15,40.57,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,9,14,9820000
120.9357682,24.83862409,18,70.13,0,0,0,112,4,3,4,0,0,1,0,0,1,0,0,0,5,17300000
120.9825111,24.81211086,35,32.99,0,0,0,112,3,2,2,1,1,0,0,0,0,0,0,1,5,5000000
120.9805623,24.81313085,21,43.03,1,1,0,112,4,2,2,1,0,0,0,1,0,0,0,9,13,13680000
121.011898,24.79221233,8,83.76,1,1,2,112,4,2,2,1,0,0,0,1,0,0,0,4,28,39200000
120.9553782,24.81072384,32,21.06,1,1,0,112,1,1,1,0,0,0,0,1,0,0,0,9,12,6000000
120.9270683,24.84398307,25,37.24,1,1,0,112,3,2,2,1,0,0,1,0,0,0,0,3,7,5450000
120.9672058,24.82196752,25,47.53,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,19,21,13000000
120.9890111,24.80069027,31,7.91,1,1,0,112,0,0,0,1,0,0,1,0,0,0,0,5,7,3700000
120.9530962,24.80275991,14,55.51,1,1,1,112,3,2,2,1,0,0,0,1,0,0,0,11,14,15000000
120.9776431,24.76376186,25,37.33,0,0,1,112,2,2,1,1,1,0,0,0,0,0,0,5,5,5000000
